program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018118,48113018118,22,623,18278,13,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018120,48113018120,16,499,14750,5,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018121,48113018121,50,619,19703,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018122,48113018122,36,552,17125,4,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018123,48113018123,24,634,16625,7,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018124,48113018124,201,593,22078,7,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018126,48113018126,48,578,19464,8,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018128,48113018128,94,434,15091,10,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018130,48113018130,141,476,19202,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018132,48113018132,17,849,25537,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018133,48113018133,49,529,20560,4,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018134,48113018134,112,603,21378,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018135,48113018135,93,663,25470,5,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018136,48113018136,26,571,20356,5,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018137,48113018137,30,632,21080,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018138,48113018138,62,402,15057,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018139,48113018139,103,609,23007,5,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018140,48113018140,64,563,22523,5,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018141,48113018141,197,349,14125,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018142,48113018142,28,681,24350,8,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018203,48113018203,18,875,27278,2,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018401,48113018401,12,441,10700,21,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018503,48113018503,27,356,13760,27,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018505,48113018505,30,366,12424,31,1,2022,1,1
