code,year,number_reported,tpoverty,poverty_indicator,Total,White_alone,Black_or_African_American_alone,Asian_alone,Some_other_race_alone,Two_or_more_races,Two_races_including_some_other_race,Two_races_excluding_some_other_and_three_plus
48113016514,2013-2017,71.8,5.4,0,7064,2451,3834,494,184,101,0,101
48113016516,2013-2017,129.0,16.6,0,5644,3822,1569,32,142,73,32,41
48113016516,2018-2022,115.2,20.0,0,5591,2552,1195,250,1259,335,261,74
48113016517,2013-2017,97.8,14.6,0,4521,2234,1595,54,552,86,19,67
48113016517,2018-2022,72.2,16.8,0,5385,2209,2146,0,654,329,275,54
48113016518,2013-2017,157.4,16.8,0,5074,3311,1535,50,110,50,9,41
48113016518,2018-2022,153.8,14.2,0,6140,2078,2017,211,1411,423,304,119
48113016520,2013-2017,113.4,18.2,0,8725,4468,2996,627,526,18,0,18
48113016521,2013-2017,92.6,22.6,0,6413,2934,2770,274,259,168,31,137
48113016521,2018-2022,61.2,14.2,0,7341,2894,3074,167,357,774,391,383
48113016522,2013-2017,35.2,11.4,0,3241,1953,945,144,64,135,99,36
48113016522,2018-2022,35.2,16.8,0,5179,3158,1216,128,345,327,187,140
48113016605,2013-2017,656.8,40.6,1,8065,3241,4561,95,148,20,20,0
48113016606,2013-2017,112.8,11.0,0,7514,2067,4861,0,154,413,142,271
48113016607,2013-2017,162.8,29.8,0,3588,311,3011,69,41,138,39,99
48113016607,2018-2022,252.2,35.2,1,3593,122,3281,0,175,0,0,0
48113016610,2013-2017,135.2,20.6,0,4695,919,3637,31,58,37,37,0
48113016610,2018-2022,118.2,16.6,0,3904,350,3141,0,97,286,114,172
48113016611,2013-2017,62.2,13.2,0,6257,1855,4102,0,17,271,53,218
48113016612,2013-2017,65.2,2.4,0,13948,3074,10339,0,343,192,38,154
48113016615,2013-2017,76.0,11.4,0,4313,1296,2506,80,202,229,16,213
48113016615,2018-2022,80.6,7.2,0,4602,1175,2886,71,102,345,58,287
48113016616,2013-2017,108.2,11.6,0,6908,2639,3717,114,46,392,9,383
48113016616,2018-2022,95.2,12.2,0,5725,2175,2848,3,353,339,232,107
48113016617,2013-2017,12.0,2.5,0,4336,1158,2729,139,166,144,0,144
48113016618,2013-2017,29.6,15.2,0,4947,1393,3263,74,79,131,14,117
48113016618,2018-2022,28.6,7.2,0,4856,1168,2789,43,324,532,190,342
48113016619,2013-2017,127.2,13.8,0,3690,969,2665,0,22,2,0,2
48113016619,2018-2022,111.2,15.2,0,3416,588,2074,0,128,626,553,73
48113016620,2013-2017,43.2,11.0,0,5376,1468,3583,0,161,164,0,164
48113016620,2018-2022,44.4,16.4,0,5845,1639,3539,113,439,83,15,68
